countyfips,year,pdsi,spei,drought_vals,Water Level Depth
8009,2010,0.048333333333333416,-0.018333333333333295,0.34615384615384615,
8009,2011,-3.0908333333333338,-0.4075,4.1923076923076925,239.0
8009,2012,-4.801666666666667,-0.7091666666666666,4.211538461538462,
8009,2013,-4.0575,-0.08416666666666668,4.320754716981132,177.20000000000002
8009,2014,-1.104166666666667,0.01583333333333331,3.6153846153846154,
8009,2015,2.1374999999999997,0.33083333333333337,1.2692307692307692,
8009,2016,0.2291666666666667,-0.42333333333333334,0.8076923076923077,
8011,2000,-0.8133333333333334,-0.39166666666666666,0.5,7.95
8011,2001,-0.07416666666666664,-0.004166666666666664,0.38461538461538464,
8011,2002,-3.9324999999999997,-0.44833333333333325,3.8679245283018866,23.19
8011,2003,-3.26,-0.5508333333333333,3.5384615384615383,
8011,2004,0.17083333333333314,0.20750000000000005,2.1923076923076925,
